"","ensembl_transcript","extra","Length","hour00_rep1","hour00_rep2","hour00_rep3","hour04_rep1","hour04_rep2","hour04_rep3","hour08_rep1","hour08_rep2","hour08_rep3","hour14_rep1","hour14_rep2","hour14_rep3","gene_symbol"
"32","ENST00000282903","9_179_2453",2293,1902.5,1769.5,1694,1999,1944,1669,3596.5,3658.5,3731.5,5725,3781,4352,"PLOD2"
"33","ENST00000360060","7_179_2390",2229,1901.5,1765.5,1689,1991,1940,1666,3584.5,3643.5,3724.5,5710,3771,4341,"PLOD2"
"34","ENST00000380394","8_60_807",752,4893,5423,5029,5153,4999,4455,5322,6409,5433,5656,4435,5015,"RPS6"
"35","ENST00000512805","5_260_1361",1108,6007,7326,6571,6464,6514,6653,7471,8330,7303,5606,5612,6252,"GNB2L1"
"36","ENST00000453788","6_278_1757",1485,2323.5,2463.5,2361,1838.5,1626.5,1646,3499,3636.5,3666,5534,4576.5,4781,"HSPA8"
"37","ENST00000234590","8_121_1423",1312,9802,11144,10619,10251,10220,9296,9338,9263,8603,5292,5090,6012,"ENO1"
"38","ENST00000215909","9_96_501",410,8642,10614,10190,9473,9358,9033,9758,10870,9605.5,5023,4734,6109,"LGALS1"
"39","ENST00000316448","9_74_1325",1261,5101,5569,5014,4554,4519,4829,6055,5892,5409,4807,4205,4775,"CALR"
"40","ENST00000526148","5_1283_3233",1963,3551.17,3758.33,3471.33,3363.83,3114.17,2955.67,3529,3850.33,3596.67,4611.67,3536.83,3865.17,"EIF4G2"
"41","ENST00000550420","2_634_745",113,11.5,17.5,11,114.5,118.5,114.5,2483.5,2974.5,3003,4599,4373,4620.5,NA
"42","ENST00000371471","6_451_3571",3123,194.5,275,248,2296.5,2390,2210,4206,4074.5,4240.5,4579,3914.5,4432,"ZNF217"
"43","ENST00000231061","8_315_1224",917,6378,7545,7015,6668,6872,6352,7038,7295,6845,4576,4995,5787,"SPARC"
"44","ENST00000223095","4_158_1364",1215,20477.5,22719,21663,18168.5,19445.5,16616,12054,11512,11367,4467,4895,5636,"SERPINE1"
"45","ENST00000396525","6_862_2698",1848,3409.17,3598.33,3320.33,3252.83,3000.17,2830.67,3383,3682.33,3475.67,4459.67,3397.83,3724.17,"EIF4G2"
"46","ENST00000270625","6_84_558",480,4077,5070,4655,4523,4577,4384,5095,5944,5083,4280,4061,4293,"RPS11"
"47","ENST00000374550","7_46_580",541,3615,4088,3728,3867,3813,3814,4706,5051,4492,4235,3631,4159,"RPL11"
"48","ENST00000262030","7_106_1693",1596,1897,2110,1955,2136,2048,1929,3200,3366,3195,4220,3349,3839,"ATP5B"
"49","ENST00000234111","8_512_1895",1392,588,578,559,530,534,502,1668,2041,2009,4061,3364,3335,"ODC1"
"50","ENST00000237853","8_351_2271",1931,1011,1042,991,1375,1246,1272,2135,2479,2340,3980,3381,3946,"ELL2"
"51","ENST00000316623","9_457_9070",8677,5526,5437,5077,5371,4752,4648,5163,4590,5070,3908,3361,4022,"FBN1"
"52","ENST00000361505","9_147_1014",874,444,537,443,1283,1348,1241,2635,3041,2941,3821,3359,4180,"PNP"
"53","ENST00000299767","9_183_2592",2428,3057,2870,2677,2839,2564,2374,2965,2970,3033,3754,2661,3406,"HSP90B1"
"54","ENST00000233143","5_318_465",149,6237,7517.17,7144.5,7247.5,6916.5,6697.83,7175,8418,6658.67,3660,3725,4337,"TMSB10"
"55","ENST00000323116","9_261_3792",3562,503,505,404,763,715,722,1984,2201,1926,3620,2550,2833,"ATP11B"
"56","ENST00000349496","9_281_2624",2358,1928,1993,2015,2289,2174,1911,2818,2798,2625,3450,2869,3339,"CTNNB1"
"57","ENST00000330244","10_137_542",409,3477,3694,3401,3414,3637,3723,4202,4782,3978,3423,2611,3640,"RPS17"
"58","ENST00000491306","5_687_963",281,3338,4336,4048,4004,4056,3702,4405,4948,3980,3410,2889,3826,"RPL37A"
"59","ENST00000487273","6_79_2536",2480,2943.5,3017.5,2851.5,2852.5,2589.5,2462.5,3115.5,3263,3128,3360.5,2574,2958.5,"ADAM9"
"60","ENST00000479035","6_134_554",424,3609,3925,3602,3562,3416,3205,3832,4341,3712,3246,2744,2969,"RPL23"
"61","ENST00000296511","9_287_1247",971,3188,3338,2880,3190,3147,2943,3558,3424,3274,3208,2319,2968,"ANXA5"
"62","ENST00000401695","7_48_501",456,3404,4011,3889,3609,3688,3298,4086,4698,4154,3105,2879,3365,"RPS14"
"63","ENST00000370801","7_477_3186",2719,240.5,305.83,254.5,385.83,391.83,388.5,2833.5,3137.17,2904.5,3094.83,2157.5,2661.5,"ZZZ3"
"64","ENST00000330899","4_184_1375",1200,547,582,528,440,456,393,1270,1468,1436,3069,2307,2648,"DNAJA1"
"65","ENST00000399799","2_942_5004",4094,443,445,457,566,490,479,1374,1439,1515,2944,2085,2710,"ROCK1"
"66","ENST00000261574","9_235_3526",3318,1642,1754,1609,1646,1599,1507,1837,2050,1840,2889,2139,2540,"IPO5"
"67","ENST00000371554","2_215_2387",2184,3521,3643,3415,3209,3077,2896,2785,2878,2670,2870,2290,2510,"HSP90AB1"
"68","ENST00000255465","6_265_1660",1405,21.67,18.5,17.5,26.5,28.83,31.67,1341.48,1633.14,1668.31,2820.96,2461.8,2560.3,"CCNA1"
"69","ENST00000625767","1_100_1492",1402,21.67,18.5,17.5,26.5,28.83,31.67,1341.48,1633.14,1668.31,2820.96,2461.8,2560.3,"CCNA1"
"70","ENST00000382051","7_51_2121",2083,32.5,32.5,33.5,62,64.5,54.5,1333.5,1289,1313,2818.5,2694,3014,"SLC34A2"
"71","ENST00000503434","5_105_2172",2080,32.5,32.5,33.5,62,64.5,54.5,1333.5,1289,1313,2818.5,2694,3014,"SLC34A2"
"72","ENST00000324460","6_229_2167",1945,1084,1008,1032,900,1049,722,1315,1062,1299,2811,2155,2616,"HSPA5"
"73","ENST00000370651","5_2279_2381",104,46,45,41,84,102,75,726,850,807,2797,1749,2022,"PTP4A1"
"74","ENST00000262584","7_234_1005",775,3357,3886,3589,3554,4182,3548,4120,4216,3876,2790,2532,3266,"RPL8"
"75","ENST00000521291","5_148_493",348,1896,2242,2092,2122,2081,2049,2528,2739,2419,2783,2003,2359,"RPL30"
"76","ENST00000370651","5_691_802",114,35.5,33.5,33,91.5,78,78,853,1018,1037,2780.5,2132,2493,"PTP4A1"
"77","ENST00000505490","2_7_799",797,314,386,363,359,345,377,1549,1665,1702,2704,2708,3210,"ALYREF"
"78","ENST00000440264","5_289_1552",1272,21.67,16,17,25,27.33,29.67,1244.98,1495.64,1525.31,2679.96,2338.3,2359.3,"CCNA1"
"79","ENST00000373316","4_168_1419",1263,3421,3682,3546,3609,3627,3328,3775,3849,3472,2625,2209,2829,"PGK1"
"80","ENST00000354373","2_297_1161",867,2,1,1,68,73,57,1541,1774,1637,2605,2450,2634,"RFPL1"
"81","ENST00000331483","8_224_1748",1534,3085,3565,3237,3294,3241,3015,3401,3389,3205,2573,2473,2976,"P4HB"
"82","ENST00000394456","9_466_2017",1563,235,322,243,935,717,927,3747,3734,3714,2566,2542,3568,"GTF2F1"
"83","ENST00000302418","4_459_3348",2913,1411,1425,1372,1416,1316,1209,1704,1746,1706,2529,1782,2202,"KIF5B"
"84","ENST00000610726","4_661_3055",2411,1558.5,1527,1439.5,1539,1439.5,1333.5,1728,1911.5,1768.5,2478.5,1917,2143,"CSDE1"
"85","ENST00000339438","10_447_2748",2317,1534.5,1507,1414.5,1526,1418.5,1308.5,1697,1884.5,1742.5,2458.5,1895,2125,"CSDE1"
"86","ENST00000360971","6_21_2796",2801,2460,2450,2270,2486,2281,2243,2108,2089,2082,2457,1721,1906,"ENPP1"
"87","ENST00000443950","6_491_1733",1242,849,912,876,952,908,855,2471,2702,2636,2440,2516,2947,"HNRNPF"
"88","ENST00000566897","5_1153_2245",1101,5664,6782,6257,5894,6268,5640,5561,5563,5218,2437,2470,3158,"ALDOA"
"89","ENST00000369850","7_238_8179",7987,5407.5,5982,6096.5,6673.5,6097,5742,5398,4622.5,4892.5,2417.5,2460,3254.5,"FLNA"
"90","ENST00000422373","5_250_8167",7962,5407.5,5982,6096.5,6673.5,6097,5742,5398,4622.5,4892.5,2417.5,2460,3254.5,"FLNA"
"91","ENST00000326793","10_238_2566",2350,238,279,228,314,304,305,876,1048,923,2396,1815,2075,"ACAP2"
"92","ENST00000274242","9_151_442",294,2188,2902,2640,2468,2532,2209,2784,3271,2763,2334,2026,2581,"RPL37"
"93","ENST00000367549","3_111_3921",3838,863,798,845,816,805,747,1013,970,953,2306,1755,2002,"DHX9"
"94","ENST00000319715","8_433_5809",5395,284,273.33,248.67,1246.33,1185.17,1032,477.17,449.5,460,2248.33,1769.33,1986.66,"RBBP6"
"95","ENST00000348022","6_45_5319",5292,281,272.33,247.67,1238.33,1183.17,1029,470.17,442.5,457,2240.33,1767.33,1980.66,"RBBP6"
"96","ENST00000338920","8_238_8689",8485,1278,1166,1294,1333,1311,1180,1474,1437,1511,2198,1799,2040,"PRRC2C"
"97","ENST00000318607","9_1130_3038",1921,1483,1647,1423,1751,1768,1410,1639,1638,1850,2122,1634,1886,"PABPC1"
"98","ENST00000537025","6_621_2208",1598,1480,1724,1553,1256,1315,1204,1714,1851,1757,2115,1778,1996,"KPNA2"
"99","ENST00000374866","7_276_4773",4550,3089,3059,2965,2990,2706,2651,3291,3212,3068,2115,2095,2527,"COL5A2"
"100","ENST00000340384","4_149_1484",1340,1642,1713,1655,1585,1907,1427,1994,1897,1905,2100,2177,2542,"TUBB4B"
"101","ENST00000262746","5_342_939",601,756.5,833,752,814,773.5,819,1280.5,1309,1292,2088,1560,1860.5,"PRDX1"
"102","ENST00000233143","5_293_344",53,3157.5,3987.67,3641.5,3811,3622,3385.33,3854.5,4371.5,3443.17,2060.5,2049,2238.5,"TMSB10"
"103","ENST00000361367","6_427_3946",3545,221,229,182,309,259,254,916,920,963,2059,1563,1837,"CTR9"
"104","ENST00000280258","5_183_1575",1395,1708,1824,1804,2068,2122,1887,2985,3124,2931,2033,1682,1989,"PRSS23"
"105","ENST00000558401","5_71_428",361,1602,1865,1782,1622,1650,1478,1886,2111,1988,2028,1530,1633,"B2M"
"106","ENST00000532297","5_631_2488",1877,141.5,159,157.5,253.5,285,250,1228,1355,1367.5,2015.5,1813,2056.5,"NXF1"
"107","ENST00000368984","7_3_1569",1576,2617,3012,2742,2540,2435,2237,2581,2717,2434,1998,1779,2020,"HTRA1"
"108","ENST00000621421","4_40_556",521,357,438,380,420,410,408,877,1042,1021,1991,1989,2288,"SAP18"
"109","ENST00000279839","7_124_811",692,185,232,181,575,604,508,1735,1926,1738,1987,1422,1762,"CWC15"
"110","ENST00000598742","5_373_808",441,2482,3009,2766,2897,2746,2520,3160,3473,2837,1973,1996,2708,"RPS19"
"111","ENST00000521861","5_25_1081",1063,696,786,666,620,673,673,1024,1227,1106,1966,1562,1811,"EIF3H"
"112","ENST00000200453","5_345_2292",1950,199,230,230,51,52,55,340,433,425,1958,1892,2118,"PPP1R15A"
"113","ENST00000357214","5_100_2221",2130,759,875,803,978,836,747,1412,1466,1386,1957,1355,1467,"SFPQ"
"114","ENST00000601521","5_533_1145",618,2081,2744,2773,2553,2565,2497,2887,3199,2817,1938,1980,2503,"RPS5"
"115","ENST00000397786","6_471_6600",6156,604.5,666.5,619,924,886,771,927.5,1079,929,1935,1481,1619.5,"MED13"
"116","ENST00000589913","5_275_683",413,1746,2189,2031,1905,1645,1703,2158,2529,2237,1906,1585,2058,"RPL27"
"117","ENST00000404125","5_57_5586",5574,433,439,403,714,645,541,788,788,858,1905,1453,1525,"PSME4"
"118","ENST00000258341","4_258_5085",4856,2713,2963,2653,2805,2572,2277,2624,2457,2419,1875,1725,1949,"LAMC1"
"119","ENST00000323963","9_65_1286",1233,678,684,650,490,480,493,580,710,714,1870,1392,1556,"EIF4A2"
"120","ENST00000399788","6_364_5434",5097,380,359,311,307,318,304,516,603,585,1867,1593,1742,"KDM5A"
"121","ENST00000295633","7_358_1282",933,2103,2289,2129,2310,2313,2157,2555,2593,2455,1860,1579,1864,"FSTL1"
"122","ENST00000410080","5_351_3333",3007,562,588,554,550,521,499,1020,1107,1067,1843,1317,1603,"PRPF40A"
"123","ENST00000265343","9_381_3870",3508,598,635,541,654,610,530,863,976,955,1839,1497,1644,"AFF4"
"124","ENST00000296255","7_50_1871",1830,1317,1450,1401,1459,1410,1351,1815,1952,1829,1838,1544,1897,"RPN1"
"125","ENST00000261483","4_1053_4485",3455,479,567,504,644,631,537,1291,1373,1260,1828,1406,1587,"MAN2A1"
"126","ENST00000311111","10_132_342",215,2156,2653,2328,2366,2251,1926,2450,2812,2511,1791,1763,2036,"RPL38"
"127","ENST00000391975","5_229_4033",3829,2159,2419,2124,2287,2105.5,2047,2453.5,2612,2441,1779,1722.5,1987,"HDLBP"
"128","ENST00000311223","9_898_2017",1124,527.5,561.5,559,404.5,423,352,871.5,1079.5,968,1775,1783,2020,"GLUL"
"129","ENST00000321153","8_395_740",350,2026,2481,2330,2455,2470,2388,2768,3101,2479,1767,1529,2033,"RPLP2"
"130","ENST00000367264","6_114_4854",4767,165.5,191.5,175.5,175,163.5,170,769,752.5,743,1744.5,1478,1700.5,"KDM5B"
"131","ENST00000512492","1_518_1157",641,8,9,11,382,372,378,362,389,348,1742,1413,1410,NA
"132","ENST00000367265","7_1166_5798",4658,165.5,189.5,174.5,174,158.5,168,749,733.5,729,1726.5,1465,1672.5,"KDM5B"
"133","ENST00000233143","5_110_242",135,1802.5,2202.17,2100,1793.5,2193.5,2190.83,2172.5,2772.5,2632.17,1724.5,1185,1760.5,"TMSB10"
"134","ENST00000427183","6_305_3902",3621,2062,2317,2036,2184,1999.5,1948,2333.5,2498,2339,1710,1636.5,1886,"HDLBP"
"135","ENST00000280527","6_368_3476",3126,2399,2638,2460,2457,2533,2315,2591,2463,2451,1707,1576,1923,"CRIM1"
"136","ENST00000571133","5_74_1544",1478,608,650,584,548,641,483,781,920,874,1704,1347,1389,"RSL1D1"
"137","ENST00000640559","1_1_1216",1217,19,18,9,20,10,13,220,252,262,1700,1437,1529,NA
"138","ENST00000260356","5_166_3676",3532,19464,20765,19226,13494,13284,10764,4036,3612,3735,1688,1620,1925,"THBS1"
"139","ENST00000261978","8_388_5851",5498,2432,2892,2690,2713,2427,2115,2403,1975,2312,1686,1633,2113,"LTBP2"
"140","ENST00000225655","5_621_1041",422,2722,3567,3273,3173,3030,3083,3286,3607,3424,1685,1440,1596,"PFN1"
"141","ENST00000326840","10_502_2689",2202,3550,3971,3465,3755,3613,3325,2695,2719,2577,1681,1276,1439,"DCBLD2"
"142","ENST00000249923","7_302_3161",2879,1037,1013,996,1023,961,836,1180,1182,1046,1680,1279,1575,"COPB1"
"143","ENST00000278572","10_19_796",784,1340,1637.5,1544.5,1495,1742,1412,1893.5,2010,1819,1675,1614.5,1818.5,"RPS3"
"144","ENST00000531188","5_63_792",736,1340,1637.5,1544.5,1495,1742,1412,1893.5,2010,1819,1675,1614.5,1818.5,"RPS3"
"145","ENST00000441802","6_211_13975",13789,6082,6412,5888,6427,5762,5478,3480,3212,3218,1671,1356,1467,"FAT1"
"146","ENST00000399959","6_856_2842",2004,480,492,460,401.5,408.5,361.5,621,688,632.5,1671,1307,1571,"DDX3X"
"147","ENST00000457138","6_856_2794",1955,480,492,460,401.5,408.5,361.5,621,687,632.5,1670,1306,1571,"DDX3X"
"148","ENST00000375734","6_251_983",736,125,175,146,369,334,331,918,1020,985,1667,1260,1388,"RND3"
"149","ENST00000075120","11_242_1730",1497,128,156,109,131,111,119,584,611,600,1666,1408,1646,"SLC2A3"
"150","ENST00000263773","9_14_3065",3067,192,192.5,192,152,143,120.5,370,448,456,1653.5,1245.5,1356,"FNBP4"
"151","ENST00000261973","11_286_2815",2548,347,349,355,309,201,289,632,700,679,1646,1230,1525,"RBM25"
"152","ENST00000394555","6_437_1916",1488,2256,2393,2210,2161,2061,1891,2199,2282,2184,1630,1368,1663,"EFEMP1"
"153","ENST00000311806","7_373_1954",1600,304,308,308,333,276,299,705,699,702,1628,1177,1347,"OXSR1"
"154","ENST00000581193","5_384_900",520,1140,1320,1126,1205,1262,1100,1358,1604,1467,1623.25,1303,1516,"MYL12B"
"155","ENST00000262435","13_189_2433",2262,1224,1272,1229,624,647,543,352,401,417,1616,1213,1394,"SMURF2"
"156","ENST00000426059","1_272_2243",1983,1755.74,1710.84,1573.26,1532.46,1371.97,1260.49,1851.63,1625.35,1702.04,1607.05,1505.46,1635.55,"FN1"
"157","ENST00000525451","6_717_1215",501,2555,3230,2884,2853,3135,2782,2915,2920,2716,1568,1553,1704,"CFL1"
"158","ENST00000327892","12_307_1639",1337,7759,9069,8300,7795,8015,7271,4776,4757,4430,1557,1567,1819,"TUBB"
"159","ENST00000357430","7_532_2692",2175,540,545,536,573,546,477,937,965,919,1556,1203,1487,"ACSL3"
"160","ENST00000358901","10_897_3315",2434,1377,1514,1443,1467,1432,1209,1413,1337,1394,1545,1433,1699,"VCP"
"161","ENST00000379270","4_180_693",520,69,91.5,75.5,93,87.5,110,354.5,433,435.5,1545,1193.5,1360,"SAT1"
"162","ENST00000439040","5_793_4471",3708,429,480,456,441,441,352,530,517,512,1535,1142,1228,"ATP13A3"
"163","ENST00000371817","7_415_5929",5581,1474.5,1726.5,1561,1924,1804.5,1653,1799.5,1468.5,1734,1514.5,1454.5,1920.5,"COL5A1"
"164","ENST00000618395","4_384_5898",5581,1475.5,1720.5,1561,1923,1803.5,1653,1799.5,1467.5,1732,1514.5,1451.5,1915.5,"COL5A1"
"165","ENST00000508053","5_976_9712",8800,910,1004,904,1028,850,758,1066,953,989,1514,1362,1563,"FBN2"
"166","ENST00000296417","5_219_603",388,817,949,844,1083,918,939,1734,1914,1675,1498,1505,1963,"H2AFZ"
"167","ENST00000297151","8_389_2147",1772,168,178,161,207,192.5,197,544.5,599,571.5,1493.5,970,1234.5,"SLU7"
"168","ENST00000304858","6_290_2810",2540,713,733,672,728,664,573,1080,1110,1052,1473,1035,1256,"HSPA4"
"169","ENST00000339697","4_113_1445",1341,504,475,483,551,471,455,779,783,760,1470,1047,1313,"SERINC1"
"170","ENST00000331738","11_147_1449",1311,187,195,174,241,236,217,443,487,445,1457,1141,1295,"RSRC2"
"171","ENST00000307712","10_519_2814",2313,971,1069,950,979,1003,955,1179,1159,1065,1450,1125,1264,"SEC23A"
"172","ENST00000370768","6_83_2015",1951,562,546,484,540,460,536,803,917,916,1444,1264,1439,"FUBP1"
"173","ENST00000421865","2_50_9416",9432,1301,1324,1206,1298,1157,1050,1447,1506,1574,1439,1227,1288,"LAMA2"
"174","ENST00000379719","7_182_3257",3101,971,1006,912,893,750,792,699,725,703,1438,918,1142,"IPO7"
"175","ENST00000222399","10_232_5590",5390,1661,1604,1532,1499,1364,1231,1406,1384,1331,1434,1199,1449,"LAMB1"
"176","ENST00000398571","6_78_10716",10717,890,905,826,1053,909,773,701,775,753,1431,1062,1181,"USP34"
"177","ENST00000220849","9_64_1399",1347,1031,974,957,1013,977,868,1095,1250,1001,1421,1076,1145,"EIF3E"
"178","ENST00000314616","10_284_5462",5215,415,475,448,731,574,585,1589,1585,1669,1419,1342,1658,"SUPT6H"
"179","ENST00000335508","10_93_4005",3936,968.33,882.67,834,901,827.67,700.5,727.33,780.67,802.33,1417.17,1049.5,1303.33,"SF3B1"
"180","ENST00000261037","7_381_2613",2235,3890,4190,3873,3863,3669,3375,3201,3253,3270,1415,1472,1722,"COL8A1"
"181","ENST00000366923","7_271_4807",4567,771,808,744,789,760,643,790,745,772,1407,1057,1168,"EPRS"
"182","ENST00000264335","12_269_1034",770,1427,1505,1381,1444,1719,1322,1458,1396,1389,1405,1104,1289,"YWHAE"
"183","ENST00000377482","9_300_1611",1313,1311,1377,1244,715,651,655,1129,1230,1069,1396,1116,1177,"ERRFI1"
"184","ENST00000407690","5_285_2796",2522,159.5,191.5,176,208,162.5,154.5,978,1000.5,1130.5,1396,1427,1681.83,"TFIP11"
"185","ENST00000342160","7_459_13581",13202,1733,1805,1678,1772,1702,1545,1444,1292,1424,1392,1181,1397,"HUWE1"
"186","ENST00000375254","7_164_15578",15519,863,952,890,921,916,838,766,731,834,1389,1289,1432,"UBR4"
"187","ENST00000314888","9_403_7978",7630,3704,3926,3943,4140,3870,3437,3379,3060,3162,1381,1419,1786,"TLN1"
"188","ENST00000370388","3_45_429",386,17.5,21,19,25,34.5,30.5,711.5,920.5,928,1367.5,1473,1559,"KHDC1L"
"189","ENST00000423730","3_745_1129",386,17.5,21,19,25,34.5,30.5,711.5,920.5,928,1367.5,1473,1559,"RP11-257K9.8"
"190","ENST00000252804","8_52_4489",4459,1737,1938,1690,1866,1815,1569,1732,1486,1683,1353,1265,1581,"PXDN"
"191","ENST00000265990","10_309_5856",5586,296,308,269,326,326,257,455,474,451,1347,1010,1151,"BTAF1"
"192","ENST00000303375","9_403_4840",4468,1513,1694,1603,1613,1491,1379,1690,1578,1717,1335,1253,1712,"MRC2"
"193","ENST00000481195","5_282_1209",933,291,339,298,397,354,333,789,837,822,1334,989,1119,"PPP2CA"
"194","ENST00000389266","7_404_2459",2073,749,788,735,799,814,675,1044,1073,1030,1332,975,1048,"GARS"
"195","ENST00000260803","8_155_1787",1639,63,78,73,347,325,272,835,833,834,1330,923,1207,"DBR1"
"196","ENST00000403825","7_262_1615",1366,57,60,53.5,66.5,57,41.5,249,314.5,298,1328.5,1044.5,1278.5,"IFRD1"
"197","ENST00000374695","7_81_13254",13269,1696,1798,1680,2144,1843,1523,1301,911,1166,1320,1337,1609,"HSPG2"
"198","ENST00000360184","8_165_14103",14017,2104,2139,2161,2080,1748,1504,1375,1280,1417,1320,1392,1595,"DYNC1H1"
"199","ENST00000395287","5_170_2678",2522,288,285.33,268.5,142.66,180.66,140.66,457.16,512.66,508.49,1319.15,1222.81,1319.31,"BRD2"
"200","ENST00000225792","9_403_2245",1854,647.5,633.5,625,549.5,571.5,467.5,497,525.5,590.5,1314,1064.5,1169.5,"DDX5"
"201","ENST00000374831","8_1615_4018",2416,284,284.33,266.5,142.66,179.66,139.66,455.16,509.66,506.49,1311.15,1221.81,1314.31,"BRD2"
"202","ENST00000312561","8_646_5656",5014,214,214,201,227,195,194,764,852,797,1311,953,1106,"KIAA1551"
"203","ENST00000392132","6_141_2337",2218,1026,1009.5,942.5,1037,971.5,897.5,1020,1006.5,938,1302.5,973.5,1127,"XRCC5"
"204","ENST00000392133","7_462_2658",2218,1026,1009.5,942.5,1037,971.5,897.5,1020,1006.5,938,1302.5,973.5,1127,"XRCC5"
"205","ENST00000578804","5_168_2010",1854,625.5,610.5,614,540.5,556.5,455.5,486,512.5,573.5,1296,1051.5,1148.5,"DDX5"
"206","ENST00000338435","8_255_2046",1807,215.5,189.5,216.5,269,267.5,261,743.5,815.5,781.5,1296,882.5,1096.5,"GLS"
"207","ENST00000295685","14_262_1162",911,1665,1880,1590,1731,1747,1626,1711,1872,1677,1296,1203,1317,"ARPC2"
"208","ENST00000333188","9_183_2901",2739,877,867,850,904,822,800,1095,1097,1170,1296,1015,1132,"COPB2"
